FID,ACCIDENT_N,ACCIDENTDA,ACCIDENTTI,ACCIDENT_T,Accident_T_1,DAY_OF_WEE,Day_Week_D,DCA_CODE,DCA_Descri,DIRECTORY,EDITION,PAGE,GRID_REFER,GRID_REF_1,LIGHT_COND,Light_Cond_1,NODE_ID,NO_OF_VEHI,NO_PERSONS,NO_PERSO_1,NO_PERSO_2,NO_PERSO_3,NO_PERSO_4,POLICE_ATT,ROAD_GEOME,Road_Geome_1,SEVERITY,SPEED_ZONE,Lat,Long
349,T20130000948,15/01/2013,12.25.00,2,Struck Pedestrian,3,Tuesday,109,ANY MANOEUVRE INVOLVING PED NOT INCLUDED IN DCAs 100-108.,MEL,40,50,J,4,1,Day,267910,1,2,1,0,0,1,1,5,Not at intersection,2,70,-37.79885,145.280139999999990
350,T20130000949,15/01/2013,10.50.00,1,Collision with vehicle,3,Tuesday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),MEL,40,79,E,5,1,Day,42442,2,2,0,1,0,1,1,1,Cross intersection,3,50,-37.93546,145.131059999999990
351,T20130000951,15/01/2013,17.25.00,1,Collision with vehicle,3,Tuesday,143,ENTERING PARKING,MEL,40,2C,A,9,1,Day,257555,2,3,0,1,0,2,1,5,Not at intersection,3,40,-37.80245,144.977759999999990
352,T20130000954,15/01/2013,16.20.00,1,Collision with vehicle,3,Tuesday,135,LANE CHANGE LEFT (NOT OVERTAKING),MEL,40,442,A,2,1,Day,57632,2,2,1,0,0,1,1,1,Cross intersection,2,80,-38.09882,144.355020000000000
353,T20130000955,15/01/2013,17.00.00,2,Struck Pedestrian,3,Tuesday,107,PED ON FOOTHPATH STRUCK BY VEHENTERING/LEAVING DRIVEWAY.,MEL,40,483,J,12,1,Day,257554,1,2,1,0,0,1,1,5,Not at intersection,2,777,-38.26789,144.525589999999990
354,T20130000956,15/01/2013,17.15.00,1,Collision with vehicle,3,Tuesday,137,LEFT TURN SIDESWIPE,MEL,40,2B,B,8,5,Dark No street lights,36210,2,2,0,2,0,0,1,1,Cross intersection,3,60,-37.79972,144.957560000000000
355,T20130000957,15/01/2013,17.17.00,4,Collision with a fixed object,3,Tuesday,183,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,MEL,40,144,A,2,1,Day,267911,2,2,1,0,0,1,1,5,Not at intersection,2,80,-38.20893,145.376659999999990
356,T20130000958,15/01/2013,16.25.00,1,Collision with vehicle,3,Tuesday,130,REAR END(VEHICLES IN SAME LANE),MEL,40,79,H,2,1,Day,42466,2,5,0,1,0,4,1,2,T intersection,3,80,-37.92338,145.141480000000000
357,T20130000960,15/01/2013,18.00.00,1,Collision with vehicle,3,Tuesday,130,REAR END(VEHICLES IN SAME LANE),MEL,40,60,G,11,1,Day,40597,2,2,0,1,0,1,1,2,T intersection,3,60,-37.86796,145.092530000000010
358,T20130000962,15/01/2013,14.20.00,4,Collision with a fixed object,3,Tuesday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,MEL,40,13,C,1,1,Day,257476,1,1,1,0,0,0,1,5,Not at intersection,2,60,-37.69948,144.764929999999990
359,T20130000964,15/01/2013,18.47.00,1,Collision with vehicle,3,Tuesday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),MEL,40,34,C,8,1,Day,38372,2,3,1,0,0,2,1,1,Cross intersection,2,60,-37.76857,145.165650000000000
360,T20130000965,15/01/2013,16.55.00,1,Collision with vehicle,3,Tuesday,120,HEAD ON (NOT OVERTAKING),VCS,9,708,B,3,1,Day,257450,2,2,0,2,0,0,1,2,T intersection,3,60,-38.65417,146.194780000000010
361,T20130000968,7/01/2013,09.30.00,4,Collision with a fixed object,2,Monday,183,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,VCS,9,602,D,5,1,Day,257478,1,1,0,1,0,0,2,5,Not at intersection,3,100,-36.69978,144.206310000000000
362,T20130000970,15/01/2013,18.12.00,1,Collision with vehicle,3,Tuesday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),VCS,9,566,H,7,1,Day,60792,2,2,1,0,0,1,1,1,Cross intersection,2,50,-37.55648,143.880900000000000
363,T20130000975,15/01/2013,20.56.00,1,Collision with vehicle,3,Tuesday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),MEL,40,69,A,3,3,Dark Street lights on,57539,2,3,0,1,0,2,1,1,Cross intersection,3,70,-37.88455,145.067479999999990
364,T20130000977,15/01/2013,16.00.00,1,Collision with vehicle,3,Tuesday,132,RIGHT REAR.,VCS,9,571,U,4,1,Day,259979,2,2,0,1,0,1,2,2,T intersection,3,60,-37.5953,143.836850000000000
365,T20130000979,15/01/2013,22.45.00,4,Collision with a fixed object,3,Tuesday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,MEL,40,52,A,8,3,Dark Street lights on,39843,1,1,1,0,0,0,1,2,T intersection,2,80,-37.81421,145.331470000000000
