FID,ACCIDENT_N,ACCIDENTDA,ACCIDENTTI,ACCIDENT_T,Accident_T_1,DAY_OF_WEE,Day_Week_D,DCA_CODE,DCA_Descri,DIRECTORY,EDITION,PAGE,GRID_REFER,GRID_REF_1,LIGHT_COND,Light_Cond_1,NODE_ID,NO_OF_VEHI,NO_PERSONS,NO_PERSO_1,NO_PERSO_2,NO_PERSO_3,NO_PERSO_4,POLICE_ATT,ROAD_GEOME,Road_Geome_1,SEVERITY,SPEED_ZONE,Lat,Long
0,T20130000003,1/01/2013,00.25.00,1,Collision with vehicle,3,Tuesday,120,HEAD ON (NOT OVERTAKING),VCS,9,3,D,6,5,Dark No street lights,257240,2,4,4,0,0,0,1,5,Not at intersection,2,90,-34.27742,142.186280000000010
1,T20130000007,1/01/2013,05.30.00,2,Struck Pedestrian,3,Tuesday,100,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,MEL,40,2S,C,7,2,Dusk/Dawn,38741,1,2,1,0,0,1,1,1,Cross intersection,2,70,-37.79892,144.892360000000000
2,T20130000013,1/01/2013,11.11.00,8,No collision and no object struck,3,Tuesday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),VCS,9,604,C,3,1,Day,257284,1,1,1,0,0,0,2,5,Not at intersection,2,999,-36.69281,144.306490000000000
3,T20130000021,1/01/2013,01.05.00,2,Struck Pedestrian,3,Tuesday,100,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,MEL,40,79,K,12,3,Dark Street lights on,257241,1,4,1,1,0,2,1,5,Not at intersection,2,60,-37.96228,145.151270000000010
4,T20130000030,1/01/2013,13.55.00,1,Collision with vehicle,3,Tuesday,153,CUTTING IN (OVERTAKING),MEL,40,2N,J,7,1,Day,267800,2,3,0,1,0,2,1,5,Not at intersection,3,40,-37.86435,144.971630000000000
5,T20130000032,1/01/2013,00.02.00,4,Collision with a fixed object,3,Tuesday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,VCS,9,62,F,5,3,Dark Street lights on,259207,1,1,1,0,0,0,1,3,Y intersection,2,60,-37.21101,145.874660000000010
6,T20130000035,1/01/2013,15.20.00,4,Collision with a fixed object,3,Tuesday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,VCS,9,84,C,8,1,Day,267801,1,2,0,1,0,1,1,5,Not at intersection,3,100,-37.91035,147.665349999999990
7,T20130000042,1/01/2013,15.51.00,1,Collision with vehicle,3,Tuesday,113,RIGHT NEAR (INTERSECTIONS ONLY),MEL,40,64,K,9,1,Day,41008,3,2,1,1,0,0,1,2,T intersection,2,60,-37.86245,145.283739999999990
8,T20130000043,1/01/2013,15.00.00,1,Collision with vehicle,3,Tuesday,149,OTHER MANOEUVRING NOT INCLUDED IN DCAs 140-148,MEL,40,25,K,1,1,Day,257613,2,5,1,0,0,4,1,5,Not at intersection,2,60,-37.74362,144.798610000000000
9,T20130000050,1/01/2013,19.05.00,1,Collision with vehicle,3,Tuesday,130,REAR END(VEHICLES IN SAME LANE),MEL,40,16,G,4,1,Day,257238,2,4,1,2,0,1,1,5,Not at intersection,2,60,-37.71062,144.916890000000000
10,T20130000051,1/01/2013,16.10.00,4,Collision with a fixed object,3,Tuesday,183,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,VCS,9,100,E,5,1,Day,267802,1,3,1,1,0,1,1,5,Not at intersection,2,100,-38.6999,143.228060000000000
11,T20130000061,2/01/2013,00.55.00,4,Collision with a fixed object,4,Wednesday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,VCS,9,23,B,8,5,Dark No street lights,257243,1,1,1,0,0,0,1,5,Not at intersection,2,100,-35.90496,145.612249999999990
12,T20130000062,2/01/2013,01.10.00,3,Struck animal,4,Wednesday,167,STRUCK ANIMAL,VCS,9,44,F,8,5,Dark No street lights,257244,1,1,0,1,0,0,1,5,Not at intersection,3,100,-36.8848,144.313189999999990
13,T20130000066,2/01/2013,02.54.00,4,Collision with a fixed object,4,Wednesday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,MEL,40,133,K,6,3,Dark Street lights on,258321,1,1,0,0,1,0,1,5,Not at intersection,1,60,-38.1135,145.282880000000010
14,T20130000068,1/01/2013,06.15.00,4,Collision with a fixed object,3,Tuesday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,MEL,40,106,A,9,2,Dusk/Dawn,258487,1,1,1,0,0,0,1,5,Not at intersection,2,80,-38.2135,145.109520000000000
15,T20130000069,1/01/2013,16.30.00,1,Collision with vehicle,3,Tuesday,130,REAR END(VEHICLES IN SAME LANE),MEL,40,9,J,12,1,Day,248719,2,2,1,0,0,1,1,1,Cross intersection,2,999,-37.69788,145.059059999999990
16,T20130000070,1/01/2013,18.10.00,8,No collision and no object struck,3,Tuesday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),VCS,9,62,D,7,1,Day,267804,1,2,1,1,0,0,1,5,Not at intersection,2,100,-37.31866,145.716700000000000
17,T20130000078,2/01/2013,10.30.00,2,Struck Pedestrian,4,Wednesday,107,PED ON FOOTHPATH STRUCK BY VEHENTERING/LEAVING DRIVEWAY.,MEL,40,452,G,12,1,Day,257246,1,2,0,1,0,1,1,5,Not at intersection,3,60,-38.17777,144.380779999999990
18,T20130000079,2/01/2013,10.45.00,1,Collision with vehicle,3,Wednesday,113,RIGHT NEAR (INTERSECTIONS ONLY),MEL,40,100A,G,11,1,Day,104390,2,2,1,0,0,1,1,2,T intersection,2,60,-38.15118,145.130799999999990
19,T20130000086,2/01/2013,12.19.00,1,Collision with vehicle,3,Wednesday,113,RIGHT NEAR (INTERSECTIONS ONLY),MEL,40,70,H,6,1,Day,11447,2,5,0,2,0,3,1,4,Multiple intersection,3,60,-37.8952,145.144039999999990
20,T20130000087,2/01/2013,10.20.00,1,Collision with vehicle,4,Wednesday,113,RIGHT NEAR (INTERSECTIONS ONLY),MEL,40,356,H,9,1,Day,57059,2,4,0,3,0,1,1,2,T intersection,3,50,-37.73098,144.741620000000010
21,T20130000088,2/01/2013,10.30.00,4,Collision with a fixed object,4,Wednesday,183,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,MEL,40,19,F,6,1,Day,267807,1,1,0,1,0,0,1,5,Not at intersection,3,70,-37.71753,145.043720000000010
22,T20130000093,2/01/2013,12.30.00,2,Struck Pedestrian,4,Wednesday,102,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,MEL,40,431,K,10,1,Day,257234,1,2,1,0,0,1,1,5,Not at intersection,2,60,-38.08332,144.352489999999990
23,T20130000097,2/01/2013,12.00.00,1,Collision with vehicle,4,Wednesday,121,RIGHT THROUGH,VCS,9,36,B,4,1,Day,261203,2,5,1,1,0,3,1,5,Not at intersection,2,80,-36.12958,147.009379999999990
24,T20130000101,2/01/2013,11.55.00,1,Collision with vehicle,4,Wednesday,113,RIGHT NEAR (INTERSECTIONS ONLY),MEL,40,933,E,9,1,Day,36479,2,4,0,2,0,2,1,2,T intersection,3,80,-38.49809,145.273230000000010
25,T20130000102,2/01/2013,14.40.00,2,Struck Pedestrian,3,Wednesday,100,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,MEL,40,1B,L,5,1,Day,35359,1,2,0,2,0,0,1,2,T intersection,3,40,-37.81425,144.963159999999990
26,T20130000104,2/01/2013,11.15.00,1,Collision with vehicle,4,Wednesday,113,RIGHT NEAR (INTERSECTIONS ONLY),VCS,9,32,E,2,1,Day,267808,2,3,0,1,0,2,1,2,T intersection,3,80,-36.04674,145.203869999999990
27,T20130000105,2/01/2013,15.00.00,8,No collision and no object struck,4,Wednesday,170,OFF CARRIAGEWAY TO LEFT,VCS,9,21,H,8,1,Day,267809,1,1,0,1,0,0,2,5,Not at intersection,3,100,-35.91892,144.389360000000010
28,T20130000109,2/01/2013,13.40.00,1,Collision with vehicle,4,Wednesday,121,RIGHT THROUGH,MEL,40,9,K,11,1,Day,229131,2,3,1,0,0,2,1,1,Cross intersection,2,50,-37.69216,145.062929999999990
29,T20130000110,2/01/2013,17.00.00,1,Collision with vehicle,4,Wednesday,148,VEHICLE OFF FOOTPATH STRIKES VEH ON CARRIAGEWAY,MEL,40,206,D,1,1,Day,44365,2,2,0,1,0,1,1,1,Cross intersection,3,70,-37.87759,144.682889999999990
30,T20130000115,2/01/2013,18.30.00,1,Collision with vehicle,4,Wednesday,147,VEHICLE STRIKES ANOTHER VEH WHILE EMERGING FROM DRIVEWAY,MEL,40,102,A,8,1,Day,257227,2,2,0,1,0,1,2,2,T intersection,3,888,-38.16582,145.109569999999990
31,T20130000121,2/01/2013,19.00.00,1,Collision with vehicle,4,Wednesday,142,LEAVING PARKING,MEL,40,8,J,7,1,Day,261253,2,3,0,1,0,2,1,5,Not at intersection,3,60,-37.6787,145.014129999999990
32,T20130000125,2/01/2013,18.00.00,6,Vehicle overturned (no collision),4,Wednesday,170,OFF CARRIAGEWAY TO LEFT,VCS,9,503,M,7,1,Day,258337,1,6,1,5,0,0,1,5,Not at intersection,2,80,-38.36345,141.585109999999990
33,T20130000126,1/01/2013,06.30.00,4,Collision with a fixed object,3,Tuesday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,MEL,40,64,F,3,1,Day,262306,1,2,0,2,0,0,1,5,Not at intersection,3,60,-37.84096,145.265739999999990
34,T20130000134,3/01/2013,10.20.00,6,Vehicle overturned (no collision),5,Thursday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),MEL,40,29,H,4,1,Day,257226,1,1,0,1,0,0,1,5,Not at intersection,3,60,-37.75565,144.965769999999990
35,T20130000141,3/01/2013,11.10.00,1,Collision with vehicle,5,Thursday,120,HEAD ON (NOT OVERTAKING),MEL,40,334,E,10,1,Day,267813,2,3,0,1,0,2,1,5,Not at intersection,3,60,-37.68684,144.464940000000010
36,T20130000142,2/01/2013,12.00.00,1,Collision with vehicle,4,Wednesday,142,LEAVING PARKING,MEL,40,38,E,5,1,Day,267814,2,2,0,1,0,1,2,5,Not at intersection,3,50,-37.75752,145.351380000000010
37,T20130000143,3/01/2013,13.30.00,4,Collision with a fixed object,4,Thursday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,MEL,40,441,C,4,1,Day,278541,1,1,0,1,0,0,1,5,Not at intersection,3,100,-38.10622,144.320439999999990
38,T20130000146,2/01/2013,18.00.00,1,Collision with vehicle,4,Wednesday,130,REAR END(VEHICLES IN SAME LANE),MEL,40,79,K,11,1,Day,258949,3,3,0,1,0,2,2,5,Not at intersection,3,50,-37.9569,145.151389999999990
39,T20130000151,3/01/2013,13.37.00,1,Collision with vehicle,5,Thursday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),MEL,40,50,H,8,1,Day,257529,2,2,0,1,0,1,1,1,Cross intersection,3,50,-37.81503,145.275600000000000
40,T20130000152,3/01/2013,13.10.00,8,No collision and no object struck,5,Thursday,180,OFF CARRIAGEWAY ON RIGHT BEND,VCS,9,101,D,4,1,Day,267816,1,1,0,1,0,0,1,5,Not at intersection,3,80,-38.62558,143.720990000000000
41,T20130000155,3/01/2013,12.54.00,1,Collision with vehicle,5,Thursday,121,RIGHT THROUGH,MEL,40,92,K,9,1,Day,29724,2,4,0,2,0,2,1,2,T intersection,3,60,-38.03914,145.108859999999990
42,T20130000156,2/01/2013,19.45.00,2,Struck Pedestrian,4,Wednesday,103,PED PLAYING/LYING/WORKING/STANDING ON CARRIAGEWAY.,MEL,40,102,J,3,1,Day,262145,2,5,1,0,0,4,1,5,Not at intersection,2,70,-38.14844,145.145770000000000
43,T20130000157,3/01/2013,15.00.00,1,Collision with vehicle,5,Thursday,132,RIGHT REAR.,MEL,40,159,E,7,1,Day,257771,2,3,0,2,0,1,1,2,T intersection,3,70,-38.33794,144.953149999999990
44,T20130000163,3/01/2013,16.15.00,4,Collision with a fixed object,5,Thursday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,VCS,9,102,F,4,1,Day,267817,2,2,0,1,0,1,1,5,Not at intersection,3,100,-38.62802,145.808169999999990
45,T20130000168,3/01/2013,17.15.00,1,Collision with vehicle,5,Thursday,111,RIGHT FAR (INTERSECTIONS ONLY),MEL,40,479,F,7,1,Day,50274,2,4,1,3,0,0,1,1,Cross intersection,2,100,-38.24865,144.332330000000010
46,T20130000174,3/01/2013,16.30.00,4,Collision with a fixed object,5,Thursday,181,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,VCS,9,97,D,7,1,Day,257224,1,1,1,0,0,0,1,5,Not at intersection,2,100,-38.36898,146.153529999999990
47,T20130000176,3/01/2013,19.12.00,6,Vehicle overturned (no collision),5,Thursday,184,OUT OF CONTROL ON CARRIAGEWAY (ON BEND),VCS,9,90,D,9,2,Dusk/Dawn,267818,1,1,1,0,0,0,1,5,Not at intersection,2,100,-38.49829,142.744970000000000
48,T20130000178,3/01/2013,20.20.00,1,Collision with vehicle,5,Thursday,121,RIGHT THROUGH,MEL,40,79,H,2,1,Day,792,2,2,1,0,0,1,1,2,T intersection,2,70,-37.92456,145.143370000000000
49,T20130000179,3/01/2013,18.45.00,1,Collision with vehicle,5,Thursday,130,REAR END(VEHICLES IN SAME LANE),MEL,40,168,C,3,1,Day,257281,4,8,0,2,0,6,1,5,Not at intersection,3,60,-38.36696,144.806450000000010
50,T20130000180,3/01/2013,20.10.00,1,Collision with vehicle,5,Thursday,133,LANE SIDE SWIPE (VEHICLES IN PARALLEL LANES),MEL,40,1D,P,7,1,Day,228,3,4,0,1,0,3,1,1,Cross intersection,3,60,-37.82458,144.963750000000000
51,T20130000182,3/01/2013,20.10.00,1,Collision with vehicle,5,Thursday,120,HEAD ON (NOT OVERTAKING),MEL,40,1D,P,8,1,Day,257972,2,5,2,2,0,1,1,5,Not at intersection,2,60,-37.82617,144.964820000000000
52,T20130000183,3/01/2013,22.28.00,1,Collision with vehicle,5,Thursday,159,OTHER OVERTAKING MANOEUVRES NOT INCLUDED IN DCAs 150-154,MEL,40,179,H,6,3,Dark Street lights on,267819,2,5,0,2,0,3,1,5,Not at intersection,3,999,-37.63018,144.919580000000000
53,T20130000185,3/01/2013,21.20.00,8,No collision and no object struck,5,Thursday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),VCS,9,699,Q,3,3,Dark Street lights on,260075,2,4,0,1,0,3,1,5,Not at intersection,3,50,-38.22051,146.426330000000010
54,T20130000186,3/01/2013,22.00.00,1,Collision with vehicle,5,Thursday,160,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD,MEL,40,2N,G,2,3,Dark Street lights on,267821,2,1,0,1,0,0,1,5,Not at intersection,3,60,-37.85619,144.968420000000010
55,T20130000188,3/01/2013,23.15.00,1,Collision with vehicle,5,Thursday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),VCS,9,688,D,10,3,Dark Street lights on,52364,2,2,0,1,0,1,1,1,Cross intersection,3,70,-37.83659,147.599220000000000
56,T20130000190,4/01/2013,00.06.00,4,Collision with a fixed object,6,Friday,181,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,VCS,9,675,O,6,3,Dark Street lights on,267822,1,4,0,1,0,3,1,5,Not at intersection,3,50,-36.41883,145.399040000000010
57,T20130000194,3/01/2013,23.00.00,8,No collision and no object struck,4,Thursday,199,UNKNOWN-NO DETAILS ON MANOEUVRES OF ROAD-USERS IN ACCIDENT,MEL,40,2S,H,8,3,Dark Street lights on,35446,1,2,1,0,0,1,1,2,T intersection,2,60,-37.79952,144.903480000000000
58,T20130000199,2/01/2013,16.40.00,1,Collision with vehicle,4,Wednesday,132,RIGHT REAR.,MEL,40,90,D,3,1,Day,43043,2,2,0,1,0,1,1,2,T intersection,3,60,-37.96995,145.214149999999990
59,T20130000203,3/01/2013,12.15.00,1,Collision with vehicle,5,Thursday,130,REAR END(VEHICLES IN SAME LANE),MEL,40,70,C,7,1,Day,257237,5,7,0,2,0,5,1,5,Not at intersection,3,70,-37.8983,145.118050000000010
60,T20130000205,4/01/2013,10.49.00,1,Collision with vehicle,6,Friday,132,RIGHT REAR.,MEL,40,107,J,5,1,Day,221754,2,2,1,0,0,1,1,2,T intersection,2,60,-38.19941,145.192340000000000
61,T20130000206,4/01/2013,11.40.00,1,Collision with vehicle,6,Friday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),VCS,9,571,U,1,1,Day,257257,2,5,0,4,0,1,1,1,Cross intersection,3,50,-37.58383,143.837060000000010
62,T20130000209,4/01/2013,11.25.00,1,Collision with vehicle,6,Friday,130,REAR END(VEHICLES IN SAME LANE),MEL,40,47,G,12,1,Day,39371,2,3,0,1,0,2,1,1,Cross intersection,3,60,-37.83041,145.136300000000010
63,T20130000211,4/01/2013,09.15.00,1,Collision with vehicle,5,Friday,130,REAR END(VEHICLES IN SAME LANE),MEL,40,203,K,11,1,Day,278999,2,2,0,2,0,0,1,5,Not at intersection,3,100,-37.86957,144.751070000000000
64,T20130000216,4/01/2013,13.45.00,1,Collision with vehicle,6,Friday,130,REAR END(VEHICLES IN SAME LANE),MEL,40,16,B,6,1,Day,267824,2,3,2,1,0,0,1,5,Not at intersection,2,100,-37.71967,144.891979999999990
65,T20130000218,4/01/2013,14.10.00,1,Collision with vehicle,6,Friday,130,REAR END(VEHICLES IN SAME LANE),MEL,40,402,N,7,1,Day,29947,2,7,0,2,0,5,1,1,Cross intersection,3,60,-38.15294,144.372350000000010
66,T20130000219,4/01/2013,11.30.00,4,Collision with a fixed object,6,Friday,183,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,VCS,9,612,D,6,1,Day,267825,1,1,1,0,0,0,1,5,Not at intersection,2,100,-36.80968,144.199919999999990
67,T20130000221,4/01/2013,14.10.00,4,Collision with a fixed object,6,Friday,181,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,VCS,9,45,D,8,1,Day,267826,1,1,1,0,0,0,1,5,Not at intersection,2,100,-36.89005,144.718189999999990
68,T20130000222,3/01/2013,15.10.00,1,Collision with vehicle,5,Thursday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),MEL,40,34,D,3,1,Day,38383,2,3,1,0,0,2,1,1,Cross intersection,2,70,-37.75041,145.168880000000000
69,T20130000224,3/01/2013,15.30.00,6,Vehicle overturned (no collision),5,Thursday,180,OFF CARRIAGEWAY ON RIGHT BEND,VCS,9,36,B,9,1,Day,261898,1,2,0,1,0,1,1,5,Not at intersection,3,100,-36.44359,147.018900000000000
70,T20130000226,4/01/2013,16.03.00,1,Collision with vehicle,6,Friday,112,LEFT FAR (INTERSECTIONS ONLY),MEL,40,26,G,1,1,Day,45022,2,2,1,0,0,1,1,2,T intersection,2,80,-37.74609,144.829090000000010
71,T20130000227,4/01/2013,15.30.00,4,Collision with a fixed object,6,Friday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,MEL,40,678,H,6,1,Day,257337,1,1,1,0,0,0,1,5,Not at intersection,2,100,-37.5001,144.610989999999990
72,T20130000230,4/01/2013,14.30.00,2,Struck Pedestrian,6,Friday,102,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,MEL,40,41,C,7,1,Day,38586,1,2,1,0,0,1,1,2,T intersection,2,60,-37.80973,144.856259999999990
73,T20130000232,4/01/2013,17.40.00,1,Collision with vehicle,6,Friday,113,RIGHT NEAR (INTERSECTIONS ONLY),MEL,40,13,K,9,1,Day,39308,2,2,0,2,0,0,1,2,T intersection,3,70,-37.72792,144.797400000000010
74,T20130000236,4/01/2013,02.00.00,2,Struck Pedestrian,6,Friday,100,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,MEL,40,100A,B,8,3,Dark Street lights on,36160,1,3,1,0,0,2,1,1,Cross intersection,2,60,-38.14534,145.120139999999990
75,T20130000241,4/01/2013,18.05.00,1,Collision with vehicle,6,Friday,113,RIGHT NEAR (INTERSECTIONS ONLY),MEL,40,61,A,12,1,Day,40656,2,2,0,1,0,1,1,2,T intersection,3,60,-37.87292,145.110780000000010
76,T20130000243,4/01/2013,18.25.00,2,Struck Pedestrian,6,Friday,100,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,MEL,40,2C,K,12,2,Dusk/Dawn,36720,1,2,0,1,0,1,2,2,T intersection,3,60,-37.80762,144.996360000000010
77,T20130000244,4/01/2013,15.55.00,1,Collision with vehicle,6,Friday,121,RIGHT THROUGH,MEL,40,7,G,4,1,Day,45334,2,4,0,1,0,3,1,2,T intersection,3,50,-37.66764,144.960890000000010
78,T20130000248,4/01/2013,19.20.00,4,Collision with a fixed object,6,Friday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,VCS,9,612,G,5,1,Day,257268,1,1,0,1,0,0,1,5,Not at intersection,3,100,-36.80452,144.218799999999990
79,T20130000249,3/01/2013,21.20.00,1,Collision with vehicle,5,Thursday,140,U TURN,MEL,40,79,G,1,3,Dark Street lights on,267829,2,3,0,3,0,0,1,5,Not at intersection,3,80,-37.921,145.137689999999990
80,T20130000253,4/01/2013,18.00.00,1,Collision with vehicle,6,Friday,135,LANE CHANGE LEFT (NOT OVERTAKING),MEL,40,2A,J,6,1,Day,260062,2,6,0,1,0,5,2,1,Cross intersection,3,60,-37.79672,144.951079999999990
81,T20130000256,4/01/2013,18.03.00,1,Collision with vehicle,6,Friday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),MEL,40,401,D,4,1,Day,46387,3,6,1,1,0,4,1,1,Cross intersection,2,50,-38.14741,144.352630000000000
82,T20130000257,4/01/2013,18.46.00,1,Collision with vehicle,6,Friday,120,HEAD ON (NOT OVERTAKING),MEL,40,202,B,1,1,Day,56625,2,3,3,0,0,0,1,1,Cross intersection,2,40,-37.83203,144.672869999999990
83,T20130000261,4/01/2013,23.00.00,1,Collision with vehicle,6,Friday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),MEL,40,91A,H,4,3,Dark Street lights on,29717,2,2,0,1,0,1,1,1,Cross intersection,3,60,-37.98362,145.221030000000010
84,T20130000263,3/01/2013,23.40.00,4,Collision with a fixed object,5,Thursday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,MEL,40,163,J,2,5,Dark No street lights,258893,1,1,0,1,0,0,1,5,Not at intersection,3,90,-38.32047,145.145600000000000
85,T20130000264,4/01/2013,23.00.00,1,Collision with vehicle,6,Friday,130,REAR END(VEHICLES IN SAME LANE),MEL,40,180,D,5,5,Dark No street lights,257250,2,3,1,0,0,2,1,5,Not at intersection,2,80,-37.62597,144.948420000000000
86,T20130000269,4/01/2013,23.32.00,1,Collision with vehicle,6,Friday,121,RIGHT THROUGH,MEL,40,205,B,4,3,Dark Street lights on,53595,2,2,0,1,0,1,1,2,T intersection,3,70,-37.88633,144.625859999999990
87,T20130000272,3/01/2013,11.41.00,1,Collision with vehicle,5,Thursday,121,RIGHT THROUGH,MEL,40,59,B,10,1,Day,67815,2,2,0,2,0,0,1,1,Cross intersection,3,70,-37.86548,145.026160000000000
88,T20130000274,5/01/2013,07.27.00,1,Collision with vehicle,7,Saturday,140,U TURN,MEL,40,101,J,6,1,Day,224144,2,2,1,0,0,1,1,2,T intersection,2,60,-38.16008,145.104019999999990
89,T20130000275,3/01/2013,12.15.00,6,Vehicle overturned (no collision),5,Thursday,180,OFF CARRIAGEWAY ON RIGHT BEND,VCS,9,68,C,3,1,Day,267831,1,3,2,0,0,1,1,5,Not at intersection,2,100,-37.11812,148.661660000000010
90,T20130000279,5/01/2013,10.49.00,1,Collision with vehicle,7,Saturday,116,LEFT NEAR (INTERSECTIONS ONLY),MEL,40,2A,F,2,1,Day,36083,2,3,0,2,0,1,1,2,T intersection,3,60,-37.7903,144.943289999999990
91,T20130000280,5/01/2013,12.58.00,1,Collision with vehicle,7,Saturday,132,RIGHT REAR.,MEL,40,71,C,4,1,Day,41800,2,2,0,1,0,1,2,1,Cross intersection,3,999,-37.88889,145.164140000000000
92,T20130000281,5/01/2013,12.05.00,1,Collision with vehicle,7,Saturday,132,RIGHT REAR.,VCS,9,673,O,6,1,Day,51270,2,3,0,2,0,1,1,2,T intersection,3,60,-36.36616,145.398320000000010
93,T20130000283,5/01/2013,12.35.00,1,Collision with vehicle,7,Saturday,160,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD,MEL,40,63,G,1,1,Day,93645,2,2,0,1,0,1,1,5,Not at intersection,3,70,-37.83238,145.226670000000010
94,T20130000284,5/01/2013,12.29.00,2,Struck Pedestrian,7,Saturday,100,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,MEL,40,2A,F,10,1,Day,36087,1,2,0,1,0,1,1,1,Cross intersection,3,60,-37.80449,144.943220000000000
95,T20130000285,5/01/2013,13.00.00,1,Collision with vehicle,7,Saturday,163,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE,MEL,40,1D,V,2,1,Day,239584,2,3,0,1,0,2,1,5,Not at intersection,3,60,-37.81912,144.968200000000000
96,T20130000291,5/01/2013,15.25.00,2,Struck Pedestrian,7,Saturday,109,ANY MANOEUVRE INVOLVING PED NOT INCLUDED IN DCAs 100-108.,VCS,9,506,F,8,1,Day,257229,1,2,0,1,0,1,1,5,Not at intersection,3,40,-37.74306,142.024589999999990
97,T20130000292,5/01/2013,08.30.00,1,Collision with vehicle,7,Saturday,134,LANE CHANGE RIGHT (NOT OVERTAKING),MEL,40,21,J,6,1,Day,1232,2,2,0,2,0,0,2,1,Cross intersection,3,60,-37.71901,145.146160000000010
98,T20130000295,5/01/2013,12.30.00,1,Collision with vehicle,7,Saturday,143,ENTERING PARKING,MEL,40,79,K,10,1,Day,267833,2,2,0,1,0,1,2,1,Cross intersection,3,40,-37.95333,145.152070000000010
99,T20130000298,5/01/2013,15.00.00,4,Collision with a fixed object,7,Saturday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,MEL,40,130,H,7,1,Day,267834,1,5,0,2,0,3,1,5,Not at intersection,3,70,-38.07248,145.319510000000010
100,T20130000301,5/01/2013,17.46.00,1,Collision with vehicle,7,Saturday,121,RIGHT THROUGH,MEL,40,100,E,2,1,Day,58010,2,2,1,0,0,1,1,1,Cross intersection,2,70,-38.09944,145.172500000000010
101,T20130000302,5/01/2013,18.00.00,6,Vehicle overturned (no collision),7,Saturday,170,OFF CARRIAGEWAY TO LEFT,VCS,9,90,B,3,1,Day,257213,1,1,0,1,0,0,1,5,Not at intersection,3,100,-38.08969,142.573250000000000
102,T20130000310,5/01/2013,18.10.00,4,Collision with a fixed object,7,Saturday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,VCS,9,63,C,3,1,Day,51289,1,2,2,0,0,0,1,1,Cross intersection,2,100,-37.07969,146.122350000000010
103,T20130000313,5/01/2013,18.54.00,1,Collision with vehicle,7,Saturday,147,VEHICLE STRIKES ANOTHER VEH WHILE EMERGING FROM DRIVEWAY,VCS,9,35,B,4,1,Day,257236,2,3,0,1,0,2,1,1,Cross intersection,3,999,-36.16518,146.567520000000000
104,T20130000316,5/01/2013,22.05.00,1,Collision with vehicle,7,Saturday,121,RIGHT THROUGH,MEL,40,58,K,12,3,Dark Street lights on,40232,2,2,0,1,0,1,1,1,Cross intersection,3,60,-37.8718,145.017730000000000
105,T20130000317,5/01/2013,23.15.00,4,Collision with a fixed object,7,Saturday,181,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,MEL,40,127,G,1,3,Dark Street lights on,43842,1,2,0,1,0,1,1,1,Cross intersection,3,60,-37.92123,145.447070000000000
